br_id,name,state,region,owner,operator,location,longitude,latitude,project,dam_type,reservoir,national_id,watercourse,original_construction,spillway_type,crest_elevation,url
dam_20,Agate Dam,Oregon,Pacific Northwest,Columbia-Cascades Area Office,Rogue River Valley Irrigation District,11 miles NW of Medford,-122.7723,42.4155,Rogue River Basin.,Zoned Earthfill,Agate,OR00422,Dry Creek,1965-1966,Uncontrolled bathtub,1520,https://www.usbr.gov/projects/index.php?id=20
dam_261,Agency Valley Dam,Oregon,Pacific Northwest,Snake River Area Office,Vale Oregon Irrigation District,"15 miles north of Juntura, Oregon",-118.154354,43.9117446,Vale,Zoned Earthfill,Beulah,OR00589,North Fork of the Malheur River,1934-1935,"Concrete-lined chute located on the right abutment, controlled by three 18-foot-wide by 17-foot-high radial gates.",3348,https://www.usbr.gov/projects/index.php?id=261
dam_21,Alcova Dam,Wyoming,Great Plains,Wyoming Area Office,NA,"30 miles southwest of Casper, WY",-106.7194,42.5483,Kendrick,zoned earthfill,Alcova,WY01290,North Platte River,1935-1938,NA,5510,https://www.usbr.gov/projects/index.php?id=21
dam_22,Almena Diversion Dam,Kansas,Great Plains,Nebraska-Kansas Area Office,Almena Irrigation District No 5,NA,-100.10041,39.76667,PSMBP - Almena,NA,NA,NA,Prairie Dog  Creek,1967,NA,2172.5,https://www.usbr.gov/projects/index.php?id=22
dam_23,Altus Dam,Oklahoma,Great Plains,Oklahoma-Texas Area Office,Lugert-Altus Irrigation District,NA,-99.3,34.8833,W. C. Austin,NA,Lake Altus,OK02500,"North Fork, Red River",1941-1945,NA,1564,https://www.usbr.gov/projects/index.php?id=23
dam_263,American Diversion Dam,New Mexico,Upper Colorado,NA,NA,NA,NA,NA,Rio Grande,NA,NA,NM82924,Rio Grande,1938,NA,3684,https://www.usbr.gov/projects/index.php?id=263
dam_24,American Falls Dam,Idaho,Pacific Northwest,Upper Snake Field Office,Upper Snake Field Office,"American Falls, Idaho",-112.8748,42.7787,Minidoka,Concrete Gravity and Zoned Earthfill,American Falls,ID00274,Snake River,1925-1927,Radial Gates,4366.5,https://www.usbr.gov/projects/index.php?id=24
dam_25,Anchor Dam,Wyoming,Great Plains,Owl Creek Irrigation District,NA,NA,-108.8167,43.6833,Owl Creek,NA,Anchor,WY01298,"South Fork, Owl Creek",1957-1960,NA,6452.5,https://www.usbr.gov/projects/index.php?id=25
dam_259,Anderson Ranch Dam,Idaho,Pacific Northwest,Snake River Area Office,NA,"28 miles northeast of Mountain Home, Idaho",-115.4501724,43.3595096,Boise,Zoned Earthfill,Anderson Ranch,ID00279,South Fork of the Boise River,1941-1950,"Concrete-lined chute located on left abutment, controlled by two 25-by-22 foot radial gates",4206,https://www.usbr.gov/projects/index.php?id=259
dam_2,Anderson-Rose Diversion Dam,Oregon,Mid-Pacific,NA,NA,NA,-121.5811049,42.0098746,Klamath,NA,NA,NA,Lost River,1921,NA,4064,https://www.usbr.gov/projects/index.php?id=2
