br_id,name,overview,url
dam_20,Agate Dam,"Agate Dam is a zoned earthfill embankment about 13 miles northeast of Medford, Oregon, on Dry Creek. The structure has a height of 86 feet and a crest length of 3,800 feet and contains 421,000 cubic yards of material. The reservoir behind the dam has a total capacity of 4,800 acre-feet (active 4,780 acre-feet). Geology Agate Dam is in a narrow valley with steep slide slopes. The left abutment juts out into the valley and at a height of 50 feet above the stream flattens off into a bench. Ice or glacial deposits, causing ice or glacial melt water to discharge, once blocked the stream channel over a bench a few hundred feet behind the left abutment. A channel developed which extends from this rock bench to a point in the present channel a few hundred feet downstream from the dam site. Bedrock at the lowest point of the old channel is about 15 feet above the reservoir flow line. Overburden at the flow line on the right abutment consisted of 28 feet of gravel with excess sand and silt. Boulders were hard, fresh andesite 2 to 3 feet in diameter. Much of the over burden between flow line and the valley flow was undoubtedly quite permeable.",https://www.usbr.gov/projects/index.php?id=20
dam_261,Agency Valley Dam,"Agency Valley Dam is located on the North Fork of the Malheur River near Beulah, Oregon, The dam is a 110-foot-high zoned earthfill structure that contains 646,000 cubic yards of material. The total capacity of the reservoir is 59,200 acre-feet (active 59,200 acre-feet). The needle valves in the outlet works were replaced by jet flow gates in 1990 as part of the operation and maintenance modifications program. Geology The foundation consists of Columbia River Basalts with interbeds of basaltic tuff, tuff-breccia, and volcanic ash overlying shale in the right abutment. Shales form the left abutment and channel section foundation.",https://www.usbr.gov/projects/index.php?id=261
dam_21,Alcova Dam,"Alcova Dam is on the North Platte River about 37 miles downstream from Seminoe Dam and 10 miles downstream from Pathfinder Dam of the North Platte Project. The dam forms a reservoir from which water is diverted into Casper Canal for irrigation of lands in the Kendrick Project. The dam is a zoned earthfill structure rising 265 feet above its foundation, and containing 1,635,000 cubic yards of material. Water is released for other irrigation rights downstream through the Alcova Power Plant or over a controlled spillway. Alcova Power Plant was authorized and built after the completion of Alcova Dam. It is on the right bank of the river opposite the toe of the dam. The plant uses the 165-foot drop from the reservoir to the river for power generation. It consists of two units, each an 18,000-kilowatt vertical-shaft generator driven by a 26,500-horsepower turbine. The reservoir has a total capacity of 184,405 acre-feet, of which only the top 30,606 acre-feet is active capacity available for irrigation.",https://www.usbr.gov/projects/index.php?id=21
dam_22,Almena Diversion Dam,"Almena Diversion Dam is located 8 miles northeast of Norton and about 11 miles downstream of Norton Dam. The diversion dam consists of a reinforced concrete ogee overflow weir about 150 feet long, 19 feet high above streambed, and includes abutment wing walls, a sluiceway with a 6- by 18-foot radial gate, and constant head orifice-type turnouts to the canals with two 72- by 60-inch orifice gates and two 60- by 48-inch turnout gates. Earth dikes 310 feet long and 31 feet high about streambed were included in the construction of this dam.",https://www.usbr.gov/projects/index.php?id=22
dam_23,Altus Dam,"Altus Dam is a concrete gravity, partially curved structure faced with granite masonry except on the downstream face of the overflow section. The dam is 110 feet (34 m) above foundation and 1,104 feet (336 m) long. It contains 70,200 cubic yards (54,000 m³) of concrete and masonry. Incorporated within the dam section are both controlled and uncontrolled overflow-type spillways and an irrigation outlet works which delivers water into the project canal system. The 58,000 cubic foot per second (1,600 m³/s) spillway is regulated by nine radial gates. Lake Altus has a total capacity of 154,092 acre feet (190,000,000 m³), of which 1,663 acre feet (2,000,000 m³) are dead storage, 19,597 acre feet (24,000,000 m³) are flood control storage, and 132,832 acre feet (164,000,000 m³) are conservation storage. The last 10,000 acre feet (12,000,000 m³) of conservation storage is reserved for municipal water for Altus, Oklahoma. Appurtenant reservoir structures are Lugert, East, North, and South Dikes, located at low places on the reservoir rim. Lugert Dike, the largest, is 4,245 feet (1,294 m) long and has a maximum height of 45 feet (14 m). Foundation: Hard granite banded with numerous seams.",https://www.usbr.gov/projects/index.php?id=23
dam_263,American Diversion Dam,NA,https://www.usbr.gov/projects/index.php?id=263
dam_24,American Falls Dam,"American Falls Dam is a 94-foot-high composite concrete and earth structure on the Snake River near American Falls, Idaho. Project storage was increased by 1,700,000 acre-feet in 1927 with the completion of the dam. A core-drilling program in the early 1960s revealed that the concrete in portions of the dam was in a relatively advanced stage of deterioration due to a chemical reaction between alkalis in the cement and the aggregate. This type of reaction, unknown at the time of construction, resulted in a significant loss in strength and durability, threatening the competence of the dam. In the early 1970s, storage was limited to 11.3 feet below full pool, which reduced the reservoir storage capacity to 1,125,000 acre-feet, about 66 percent of maximum design capacity. By congressional act of December 28, 1973, the American Falls Reservoir District, acting as the constructing agency representing the storage spaceholders, was authorized to finance and contract for the replacement of American Falls Dam. The new dam, completed in 1978, replaced the concrete portion of the original structure and was built immediately downstream from the old dam. During reconstruction, the reservoir area was surveyed and the total storage capacity is now 1,672,600 acre-feet (active 1,672,600 acre-feet). After Congress passed the 1978 Safety of Dams Act, the American Falls Reservoir District was repaid for their construction costs. Geology Little Creek basalt extends from high on both abutments to well below streambed. Basalt is highly jointed with some faulting.",https://www.usbr.gov/projects/index.php?id=24
dam_25,Anchor Dam,The dam is placed on fresh competent sandstone of the Tensleep Formation which was grouted and concreted to seal joints and cavities in dolomite interbeds. Treatment by concreting and grouting solution cavities and open joints has strengthened the foundation sufficiently to support the weight of the dam. The seal provided by concreting and grouting in the Tensleep rocks is probably effective only within a short radius of the dam foundation.,https://www.usbr.gov/projects/index.php?id=25
dam_259,Anderson Ranch Dam,"Anderson Ranch Dam and Powerplant is a multiple purpose structure that provides benefits of irrigation, power, and flood and silt control. The dam is 456 feet high and is on the South Fork of the Boise River, 28 miles northeast of Mountain Home. It has a total storage capacity of474,900 acre-feet (active413,100 acre-feet) and was the world's highest earthfill dam at the time of its completion in 1950. The power plant had a rated capacity of 27,000 kilowatts with two units installed. These units were up-rated in 1986, increasing the capacity to 20,000 kilowatts each for a total of 40,000 kilowatts. Geology Anderson Ranch Dam is located near the southwestern edge of Idaho Batholith which is composed of a series of closely related, coarse-grained intrusions. Major normal faulting in the region includes faults in and adjacent to the Batholith, faults bounding the northeast and southwest margin on the adjacent Snake River Plain, and faults forming Camas Prairie Basin east of the dam. These faults show a low to moderate seismic activity level. The dam is located in a narrow steep-sided valley cut through several hundred of igneous extrusive and extrusive rock. In the dam foundation, the rock was found to be intensely fractured and cut by numerous shears and fractures of varying widths. Several dikes were also found normal to the canyon axis. The dikes present a reduction of fractures and shears reducing the foundation permeability and making a tight foundation. Materials within the canyon include talus, colluvium, alluvium, residual soil and intact rock. These materials form the foundation of the dam and have performed well with respect to deformation and seepage.",https://www.usbr.gov/projects/index.php?id=259
dam_2,Anderson-Rose Diversion Dam,"Anderson-Rose Diversion Dam, on Lost River about 3 miles southeast of Merrill, Oregon, diverts water to serve the lands reclaimed from the bed of Tule Lake. The dam is a reinforced concrete slab and buttress structure with a height of 23 feet and a crest length of 324 feet.",https://www.usbr.gov/projects/index.php?id=2
