br_id,name,history,plan,url
plant_524,Alcova Powerplant,"Alcova Power Plant was authorized and built after Alcova Dam was completed in 1938. Construction of Alcova Power Plant was completed in 1955. The Kendrick Project conserves the waters of the North Platte River for irrigation and electric power generation. The project is a multiple-purpose development with storage at Seminoe Reservoir and diversion at Alcova Dam to project lands. Operation of the reservoirs and power plants is integrated with other river basin developments. The President approved the Kendrick Project on August 30, 1935. The Alcova Power Plant was authorized for construction on August 22, 1950, under the provisions of section 9(a) of the Reclamation Project Act of 1939. Originally known as Casper-Alcova, the project was renamed Kendrick in 1937.","Alcova Power Plant was authorized and built after Alcova Dam was completed in 1938. Construction of Alcova Power Plant was completed in 1955. The Kendrick Project conserves the waters of the North Platte River for irrigation and electric power generation. The project is a multiple-purpose development with storage at Seminoe Reservoir and diversion at Alcova Dam to project lands. Operation of the reservoirs and power plants is integrated with other river basin developments. The President approved the Kendrick Project on August 30, 1935. The Alcova Power Plant was authorized for construction on August 22, 1950, under the provisions of section 9(a) of the Reclamation Project Act of 1939. Originally known as Casper-Alcova, the project was renamed Kendrick in 1937.",https://www.usbr.gov/projects/index.php?id=524
plant_525,Anderson Ranch Powerplant,"Agricultural activity in the Boise and Payette Valleys started in the early 1880`s when settlers began filing on desert lands under private irrigation enterprises. By 1900, about 148,000 acres had been placed under irrigation. It quickly became evident that storage and distribution systems were needed for a dependable water source to serve the lands at high elevations. In response to petitions by local irrigators, the Boise Project was initiated by the Reclamation Service shortly after the passage of the first Reclamation Act of 1902. Project Authorization Construction of the original Boise Project was authorized on March 27, 1905. The Secretary of the Interior authorized Anderson Ranch Dam and Reservoir on August 12, 1940, under the Reclamation Project Act of 1939 (53 Stat. 1187).","Agricultural activity in the Boise and Payette Valleys started in the early 1880`s when settlers began filing on desert lands under private irrigation enterprises. By 1900, about 148,000 acres had been placed under irrigation. It quickly became evident that storage and distribution systems were needed for a dependable water source to serve the lands at high elevations. In response to petitions by local irrigators, the Boise Project was initiated by the Reclamation Service shortly after the passage of the first Reclamation Act of 1902. Project Authorization Construction of the original Boise Project was authorized on March 27, 1905. The Secretary of the Interior authorized Anderson Ranch Dam and Reservoir on August 12, 1940, under the Reclamation Project Act of 1939 (53 Stat. 1187).",https://www.usbr.gov/projects/index.php?id=525
plant_578,Big Thompson Powerplant,"The water and power control center for the Colorado-Big Thompson Project's reservoirs, power plants, and transmission lines in Wyoming, Colorado, and western Nebraska is at the Western Area Power Administration facility in Loveland, Colorado. First construction funds were provided by the Interior Department Appropriation Act of August 9, 1937 (50 Stat. 595). The President approved the Secretary`s finding of feasibility on December 21, 1937. The Colorado-Big Thompson Project is one of the largest and most complex natural resource developments undertaken by Reclamation. It consists of over 100 structures integrated into a transmountain water diversion system through which multiple benefits are provided to the people.","The water and power control center for the Colorado-Big Thompson Project's reservoirs, power plants, and transmission lines in Wyoming, Colorado, and western Nebraska is at the Western Area Power Administration facility in Loveland, Colorado. First construction funds were provided by the Interior Department Appropriation Act of August 9, 1937 (50 Stat. 595). The President approved the Secretary`s finding of feasibility on December 21, 1937. The Colorado-Big Thompson Project is one of the largest and most complex natural resource developments undertaken by Reclamation. It consists of over 100 structures integrated into a transmountain water diversion system through which multiple benefits are provided to the people.",https://www.usbr.gov/projects/index.php?id=578
plant_527,Black Canyon Powerplant,"Agricultural activity in the Boise and Payette River Valleys started in the early 1880's when settlers began filing on desert lands under private irrigation enterprises. By 1900, about 148,000 acres had been placed under irrigation. It quickly became evident that storage and distribution systems were needed for a dependable water source to serve the lands at high elevations. In response to petitions by local irrigators, the Boise Project was initiated by the Reclamation Service shortly after the passage of the first Reclamation Act of 1902. Project Authorization The Secretary of the Interior authorized construction of the original Boise Project on March 27, 1905, and the Black Canyon Dam on June 26, 1922, under provision of the Reclamation Act of June 17, 1902 (32 Stat. 388).","Agricultural activity in the Boise and Payette River Valleys started in the early 1880's when settlers began filing on desert lands under private irrigation enterprises. By 1900, about 148,000 acres had been placed under irrigation. It quickly became evident that storage and distribution systems were needed for a dependable water source to serve the lands at high elevations. In response to petitions by local irrigators, the Boise Project was initiated by the Reclamation Service shortly after the passage of the first Reclamation Act of 1902. Project Authorization The Secretary of the Interior authorized construction of the original Boise Project on March 27, 1905, and the Black Canyon Dam on June 26, 1922, under provision of the Reclamation Act of June 17, 1902 (32 Stat. 388).",https://www.usbr.gov/projects/index.php?id=527
plant_529,Blue Mesa Powerplant,"Power generation was initiated in September 1967 at the Blue Mesa Powerplant. Generators were uprated from 30,000 kW to 43,200 kW in 1988. The Governors were replaced in 2001-2002. A new generator step up transformer was installed in 2002. The Colorado River Storage Project provides for the comprehensive development of the Upper Colorado River Basin. The project furnishes the long-term regulatory storage needed to permit States in the upper basin to meet their flow obligation at Lees Ferry, Arizona, as defined in the Colorado River Compact and still use their apportioned water. Congress authorized construction of four storage units of the Colorado River Storage Project and 11 participating projects on April 11, 1956, under Public Law 485, 84th Congress, 70 Stat. 105. Additional projects have been added since the original legislation was adopted.","Power generation was initiated in September 1967 at the Blue Mesa Powerplant. Generators were uprated from 30,000 kW to 43,200 kW in 1988. The Governors were replaced in 2001-2002. A new generator step up transformer was installed in 2002. The Colorado River Storage Project provides for the comprehensive development of the Upper Colorado River Basin. The project furnishes the long-term regulatory storage needed to permit States in the upper basin to meet their flow obligation at Lees Ferry, Arizona, as defined in the Colorado River Compact and still use their apportioned water. Congress authorized construction of four storage units of the Colorado River Storage Project and 11 participating projects on April 11, 1956, under Public Law 485, 84th Congress, 70 Stat. 105. Additional projects have been added since the original legislation was adopted.",https://www.usbr.gov/projects/index.php?id=529
plant_530,Boise River Diversion Powerplant,"Agricultural activity in the Boise and Payette River Valleys started in the early 1880s when settlers began filing on desert lands under private irrigation enterprises. By 1900, about 148,000 acres had been placed under irrigation. It quickly became evident that storage and distribution systems were needed for a dependable water source to serve the lands at high elevations. In response to petitions by local irrigators, the Boise Project was initiated by the Reclamation Service shortly after the passage of the first Reclamation Act of 1902. Project Authorization The original Boise Project was authorized on March 27, 1905. Project Purpose The Boise Project furnishes irrigation water to about 225,000 acres of project lands and 165,000 acres under special and Warren Act contracts. The irrigable lands are in southwestern Idaho and eastern Oregon.","Agricultural activity in the Boise and Payette River Valleys started in the early 1880s when settlers began filing on desert lands under private irrigation enterprises. By 1900, about 148,000 acres had been placed under irrigation. It quickly became evident that storage and distribution systems were needed for a dependable water source to serve the lands at high elevations. In response to petitions by local irrigators, the Boise Project was initiated by the Reclamation Service shortly after the passage of the first Reclamation Act of 1902. Project Authorization The original Boise Project was authorized on March 27, 1905. Project Purpose The Boise Project furnishes irrigation water to about 225,000 acres of project lands and 165,000 acres under special and Warren Act contracts. The irrigable lands are in southwestern Idaho and eastern Oregon.",https://www.usbr.gov/projects/index.php?id=530
plant_531,Boysen Powerplant,"Construction of the power plant was authorized by the Flood Control Act of December 22, 1944. Construction began in 1947 and was completed in 1952. The Congress authorized the Boysen Unit of the Pick Sloan Missouri Basin Program under the Flood Control Act of December 22, 1944, Public Law 534, which approved the general comprehensive plan set forth in Senate Document 191, as revised and coordinated by Senate Document 247, 78th Congress, 2d Session. The Boysen Unit provides regulation of the streamflow for power generation, irrigation, flood control, sediment retention, fish propagation, and recreation development.","Construction of the power plant was authorized by the Flood Control Act of December 22, 1944. Construction began in 1947 and was completed in 1952. The Congress authorized the Boysen Unit of the Pick Sloan Missouri Basin Program under the Flood Control Act of December 22, 1944, Public Law 534, which approved the general comprehensive plan set forth in Senate Document 191, as revised and coordinated by Senate Document 247, 78th Congress, 2d Session. The Boysen Unit provides regulation of the streamflow for power generation, irrigation, flood control, sediment retention, fish propagation, and recreation development.",https://www.usbr.gov/projects/index.php?id=531
plant_533,Buffalo Bill Powerplant,"In 1992 construction was completed on the dam modification (which raised the dam 25 feet), the new power plant, and the visitor's center. Floodwaters of the Shoshone River are stored in Buffalo Bill Reservoir for later release for irrigation and power generation. Power is developed at the Buffalo Bill, Spirit Mountain, Shoshone and Heart Mountain Power plants. The system is interconnected with the West Division of the Pick-Sloan Missouri Basin Program. The Secretary of the Interior authorized the Shoshone Project on February 10, 1904, under authority of the Reclamation Act of June 17, 1902, and authorized Heart Mountain power development on June 19, 1945, under the provisions of the Reclamation Project Act of 1939.","In 1992 construction was completed on the dam modification (which raised the dam 25 feet), the new power plant, and the visitor's center. Floodwaters of the Shoshone River are stored in Buffalo Bill Reservoir for later release for irrigation and power generation. Power is developed at the Buffalo Bill, Spirit Mountain, Shoshone and Heart Mountain Power plants. The system is interconnected with the West Division of the Pick-Sloan Missouri Basin Program. The Secretary of the Interior authorized the Shoshone Project on February 10, 1904, under authority of the Reclamation Act of June 17, 1902, and authorized Heart Mountain power development on June 19, 1945, under the provisions of the Reclamation Project Act of 1939.",https://www.usbr.gov/projects/index.php?id=533
plant_536,Canyon Ferry Powerplant,"Construction of Canyon Ferry Power Plant started in 1949 and was completed in 1954. Unit 1 began operation in December 1953, and Units 2 and 3 in March 1954. Canyon Ferry Power Plant is part of the Eastern Division of the Pick-Sloan Missouri Basin Program. The Canyon Ferry Unit is a multi-purpose project, which provides low cost power generation and makes an important contribution to the flood control, irrigation, and power supply in the upper Missouri Basin. Canyon Ferry was constructed to provide regulation of runoff for low cost power and to permit increased irrigation diversions in the upper Missouri River Basin. With a total capacity of 2,051,000 acre-feet, Canyon Ferry Reservoir makes possible the irrigation of 155,600 acres of land and supplements irrigation of 82,000 acres in the upper Missouri area. The reservoir permits upstream irrigation development by reregulating residual flows of the river for downstream power plants. The Canyon Ferry Unit of the Pick-Sloan Missouri Basin Project was authorized by the Flood Control Act of December 22, 1944, Public Law 534, which approved the general comprehensive plan set forth in Senate Document 191, as revised and coordinated by Senate Document 247, 78th Congress, 2d Session.","Construction of Canyon Ferry Power Plant started in 1949 and was completed in 1954. Unit 1 began operation in December 1953, and Units 2 and 3 in March 1954. Canyon Ferry Power Plant is part of the Eastern Division of the Pick-Sloan Missouri Basin Program. The Canyon Ferry Unit is a multi-purpose project, which provides low cost power generation and makes an important contribution to the flood control, irrigation, and power supply in the upper Missouri Basin. Canyon Ferry was constructed to provide regulation of runoff for low cost power and to permit increased irrigation diversions in the upper Missouri River Basin. With a total capacity of 2,051,000 acre-feet, Canyon Ferry Reservoir makes possible the irrigation of 155,600 acres of land and supplements irrigation of 82,000 acres in the upper Missouri area. The reservoir permits upstream irrigation development by reregulating residual flows of the river for downstream power plants. The Canyon Ferry Unit of the Pick-Sloan Missouri Basin Project was authorized by the Flood Control Act of December 22, 1944, Public Law 534, which approved the general comprehensive plan set forth in Senate Document 191, as revised and coordinated by Senate Document 247, 78th Congress, 2d Session.",https://www.usbr.gov/projects/index.php?id=536
plant_538,Chandler Powerplant,"The powerplant was constructed in 1956 as part of the Yakima Project. Project Authorization Congress authorized the Yakima Project, Kennewick Division, on June 12, 1948, under Public Law 629, 80th Congress (62 Stat. 382).","The powerplant was constructed in 1956 as part of the Yakima Project. Project Authorization Congress authorized the Yakima Project, Kennewick Division, on June 12, 1948, under Public Law 629, 80th Congress (62 Stat. 382).",https://www.usbr.gov/projects/index.php?id=538
